Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
Morgan,LogisticRegression,2,1,0.9200561009817672,0.9453858758054884,0.7777777777777778,0.6774193548387096,0.9130434782608695,0.786456180586795,0.9130434782608695,0.7777777777777778,0.5904628330995793,0.5651006711409396
Morgan,LogisticRegression,2,2,0.9088359046283311,0.9261550974751682,0.8518518518518519,0.967741935483871,0.6956521739130435,0.8204948392318937,0.8108108108108109,0.8823529411764706,0.7063030035484253,0.6865021770682148
Morgan,LogisticRegression,2,3,0.9775596072931277,0.9849506789301004,0.9259259259259259,0.9354838709677419,0.9130434782608695,0.9241955677265118,0.9354838709677419,0.9354838709677419,0.8485273492286115,0.8485273492286115
Morgan,LogisticRegression,2,4,0.9602272727272726,0.9775763408845306,0.9259259259259259,0.90625,0.9545454545454546,0.9300843070291092,0.9666666666666667,0.9354838709677419,0.8511773263598431,0.8487394957983193
Morgan,LogisticRegression,2,5,0.96875,0.9769055120250638,0.8888888888888888,0.875,0.9090909090909091,0.8918825850158447,0.9333333333333333,0.9032258064516129,0.7753298418327284,0.7731092436974789
Morgan,LogisticRegression,3,1,0.9621318373071529,0.9718019577873663,0.8888888888888888,0.8709677419354839,0.9130434782608695,0.8917574875210129,0.9310344827586207,0.9,0.7774957785358391,0.7753120665742025
Morgan,LogisticRegression,3,2,0.8751753155680225,0.8878391218926787,0.7777777777777778,0.7419354838709677,0.8260869565217391,0.7828813612588127,0.8518518518518519,0.7931034482758621,0.5617544147048537,0.5555555555555556
Morgan,LogisticRegression,3,3,0.9803646563814867,0.9850940481057275,0.9259259259259259,0.9354838709677419,0.9130434782608695,0.9241955677265118,0.9354838709677419,0.9354838709677419,0.8485273492286115,0.8485273492286115
Morgan,LogisticRegression,3,4,0.9730113636363638,0.9830000521046127,0.8888888888888888,0.90625,0.8636363636363636,0.8846866420069055,0.90625,0.90625,0.7698863636363636,0.7698863636363636
Morgan,LogisticRegression,3,5,0.9446022727272727,0.9620399647686118,0.8518518518518519,0.9375,0.7272727272727273,0.8257228238447705,0.8333333333333334,0.8823529411764706,0.6929023281557338,0.6842105263157894
Morgan,LogisticRegression,4,1,0.94109396914446,0.9525628349602635,0.8333333333333334,0.8064516129032258,0.8695652173913043,0.8374140386271068,0.8928571428571429,0.847457627118644,0.6690161221570029,0.6648275862068965
Morgan,LogisticRegression,4,2,0.9859747545582048,0.9892478125976814,0.9629629629629629,1.0,0.9130434782608695,0.9555330859059091,0.9393939393939394,0.96875,0.926124996899135,0.9234042553191489
Morgan,LogisticRegression,4,3,0.9495091164095372,0.9637986449751343,0.8518518518518519,0.8709677419354839,0.8260869565217391,0.8482305648608138,0.8709677419354839,0.8709677419354839,0.697054698457223,0.697054698457223
Morgan,LogisticRegression,4,4,0.9303977272727273,0.9297958931083737,0.9074074074074074,0.9375,0.8636363636363636,0.8998105861285979,0.9090909090909091,0.9230769230769231,0.8074695559742582,0.8068669527896996
Morgan,LogisticRegression,4,5,0.8934659090909091,0.915225784749669,0.8333333333333334,0.78125,0.9090909090909091,0.8427498280790526,0.9259259259259259,0.847457627118644,0.6784005252999682,0.6666666666666667
Morgan,LogisticRegression,5,1,0.9467040673211781,0.9598850089123266,0.8333333333333334,0.8709677419354839,0.782608695652174,0.8256070060696241,0.84375,0.8571428571428571,0.6577408605622689,0.6572637517630465
Morgan,LogisticRegression,5,2,0.9368863955119214,0.9444571169470348,0.8888888888888888,0.8709677419354839,0.9130434782608695,0.8917574875210129,0.9310344827586207,0.9,0.7774957785358391,0.7753120665742025
Morgan,LogisticRegression,5,3,0.938288920056101,0.9585408333581712,0.8888888888888888,0.8387096774193549,0.9565217391304348,0.8956807686171939,0.9629629629629629,0.896551724137931,0.7864561805867951,0.7777777777777778
