framework,dataset,featurization,smoothing_factor,distance_threshold,kappa,kappa-lb,kappa-ub,accuracy,accuracy-lb,accuracy-ub,recall,recall-lb,recall-ub,specificity,specificity-lb,specificity-ub,kappa_val,train_time,pred_time,pred_time_normalized,pred_time_small_compounds_normalized,pred_time_large_compounds_normalized,pred_time_representative-2500_normalized,pred_time_representative-5000_normalized,pred_time_representative-10000_normalized,pred_time_representative-20000_normalized,details,pred_time_small_compounds,pred_time_large_compounds,pred_time_representative-2500,pred_time_representative-5000,pred_time_representative-10000,pred_time_representative-20000,train_time_normalized
vnn,bbb,morgan_fp,0.2399999999999999,1.0,0.2356115107913668,-0.0049869528071037,0.4607912845969127,0.6323529411764706,0.5147058823529411,0.7352941176470589,0.7631578947368421,0.6097560975609756,0.8857142857142857,0.4666666666666667,0.2903225806451613,0.6508792127613363,0.6604955590558846,8.232258629053831,0.0025745360180735,3.7860823795199394e-05,3.020892980275676e-05,3.080990840680897e-05,3.842540879268199e-05,2.8024440596345813e-05,2.8457477100891992e-05,3.240092855121475e-05,,,,,,,,0.03048984677427345
vnn,herg,morgan_fp,0.2999999999999999,1.0,0.5835393853761921,0.4383806464759582,0.7105589837253947,0.7938931297709924,0.7175572519083969,0.8625954198473282,0.6666666666666666,0.5428571428571428,0.7758620689655172,0.9117647058823528,0.8235294117647058,0.9666666666666668,0.678396294234545,9.041683106916024,0.0072850419674068,5.561100738478526e-05,3.5253474407363683e-05,4.529896359890699e-05,4.548728959634901e-05,4.176008759532124e-05,4.69911276944913e-05,4.933299809927121e-05,,,,,,,,0.017222253536982902
vnn,pgp_substrates,morgan_fp,0.2599999999999999,1.0,0.4074074074074074,0.2616226071103007,0.5415301771140291,0.7037037037037037,0.6296296296296297,0.7716049382716049,0.8024691358024691,0.7023809523809523,0.88,0.6049382716049383,0.4939759036144578,0.7093023255813954,0.3714880357922904,9.819499354925938,0.0093194369692355,5.752738869898481e-05,4.5249656401574615e-05,5.972733999369666e-05,5.1290764403529466e-05,5.427998900413513e-05,5.8271397097269073e-05,5.821161854837555e-05,,,,,,,,0.015106922084501442
vnn,dili,morgan_fp,0.2899999999999999,1.0,0.3068105373624303,0.1932459761111788,0.4177114554591171,0.6642599277978339,0.6064981949458483,0.7184115523465704,0.7960526315789473,0.723949735359287,0.8543046357615894,0.504,0.4160583941605839,0.5939849624060151,0.3410440193554808,19.82640062400605,0.0218736509559676,7.89662489385112e-05,7.351093959296122e-05,9.034409379819408e-05,7.661090798210353e-05,8.19398578023538e-05,8.082321179681458e-05,8.500404035148676e-05,,,,,,,,0.017861622183789234
vnn,pgp_inhibitors,morgan_fp,0.11,1.0,0.4474535539328959,0.3596700147131615,0.5316395862678244,0.7377049180327869,0.6955503512880562,0.7775175644028103,0.8247011952191236,0.772170955372761,0.8677685950413223,0.6136363636363636,0.5421686746987951,0.6831325206440084,0.5912687452973343,32.9710093990434,0.0491130630252882,0.0001150188829632,9.08527511986904e-05,0.0001230066417949,0.0001113998752087,0.0001122716131969,0.0001180718073039,0.0001244904215505,,,,,,,,0.019292574253389937
vnn,hlm,morgan_fp,0.1899999999999999,1.0,0.4321522644234854,0.3590357707324483,0.5047533832904596,0.734959349593496,0.6991869918699187,0.7691056910569106,0.5967078189300411,0.5330739299610895,0.6582862406650222,0.8252688172043011,0.7841689707772291,0.8617021276595744,0.5246693600395189,72.7304205649998,0.1043337369919754,0.0001696483528324,0.0001343158902018,0.0001846952341962,0.0001771574804093,0.0001679406016017,0.0001771064104046,0.0001785345176496,,,,,,,,0.02954119438058481
vnn,cytotox,morgan_fp,0.1899999999999999,1.0,0.4062172182672827,0.3509510504497287,0.460720424443071,0.7323704333050127,0.7060322854715378,0.7570093457943925,0.5956416464891041,0.5477855477855478,0.6421568627450981,0.806282722513089,0.7770431745178414,0.8333333333333334,0.5912516373233614,229.3329594950192,0.396942351013422,0.0003372492362051,0.0002679797771968,0.000355981383007,0.0003252289199968,0.0003215572310029,0.0003196975347003,0.0003205117344507,,,,,,,,0.04873203559180178
vnn,mmp,morgan_fp,0.2199999999999999,1.0,0.3463799005360718,0.2830366954103995,0.4119664559028271,0.8160535117056856,0.7934782608695652,0.8369565217391305,0.3113553113553113,0.2598853634304856,0.3697048683496757,0.9653304442036836,0.9521739130434784,0.9759825327510916,0.4630133334063127,236.00744586100336,0.3380403710179962,0.0002826424506839,0.0002618262928095,0.0003310832057963,0.0003100756647996,0.0003067138915997,0.0003049527684983,0.0003066231080505,,,,,,,,0.049353292735467034
vnn,ames,morgan_fp,0.2599999999999999,1.0,0.4851566025410762,0.4354841296270015,0.5320131107026008,0.7598455598455598,0.7359073359073359,0.7826696264496875,0.8547557840616966,0.8290286974126323,0.8783618600871158,0.6170212765957447,0.5738433597234485,0.6578674792888829,0.5710349823044362,275.6043679260183,0.3859601970179938,0.000298038762176,0.0002776543040061,0.0003604293918004,0.0003205840704031,0.0003413037623977,0.000337475314195,0.0003382881541008,,,,,,,,0.053184941707066447
vnn,cyp1a2,morgan_fp,0.1999999999999999,1.0,0.4794643191375201,0.4200605952639561,0.5363718893866583,0.8414886285320469,0.8221915920055134,0.8594073053066851,0.5217391304347826,0.4651286452735987,0.577639751552795,0.9244791666666666,0.9079710959027876,0.938566552901024,0.5859861035855445,346.34825055708643,0.6056917349924333,0.0004174305547845,0.0003220690754009,0.0004239340577973,0.000373383978405,0.0003887178999953,0.0003912464304012,0.0003897141920489,,,,,,,,0.05967406108840221
