dataset,Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
pgp_inhibitors,Mordred,Bayesian,0.82,0.855,0.768,0.853,0.649,0.744,0.774,0.812,0.517,0.513
pgp_inhibitors,Mordred,KNN,0.898,0.899,0.832,0.888,0.754,0.818,0.836,0.861,0.653,0.65
pgp_inhibitors,Mordred,LightGBM,0.937,0.949,0.874,0.915,0.815,0.863,0.875,0.894,0.739,0.737
pgp_inhibitors,Mordred,LogisticRegression,0.919,0.933,0.851,0.865,0.832,0.848,0.879,0.872,0.695,0.694
pgp_inhibitors,Mordred,RandomForest,0.938,0.953,0.874,0.918,0.811,0.863,0.873,0.895,0.739,0.737
pgp_inhibitors,Mordred,XGBoost,0.937,0.95,0.875,0.912,0.822,0.866,0.879,0.895,0.741,0.74
pgp_inhibitors,Morgan,Bayesian,0.881,0.914,0.799,0.772,0.836,0.803,0.87,0.818,0.601,0.595
pgp_inhibitors,Morgan,KNN,0.869,0.871,0.803,0.778,0.839,0.807,0.873,0.822,0.609,0.603
pgp_inhibitors,Morgan,LightGBM,0.911,0.938,0.831,0.856,0.796,0.825,0.856,0.855,0.652,0.652
pgp_inhibitors,Morgan,LogisticRegression,0.914,0.938,0.836,0.847,0.82,0.833,0.869,0.858,0.664,0.663
pgp_inhibitors,Morgan,RandomForest,0.907,0.934,0.822,0.804,0.848,0.825,0.882,0.841,0.645,0.641
pgp_inhibitors,Morgan,XGBoost,0.912,0.938,0.832,0.857,0.796,0.826,0.856,0.856,0.654,0.654
pgp_inhibitors,Morgan,vNN,0.7930697732494256,0.8960999823638045,0.8032806846049629,0.853,0.7331395464988514,0.7905366902098643,0.8187739364707024,0.8353133882503256,0.5925756845506389,0.5912687452973343
hlm,Mordred,Bayesian,0.626,0.493,0.649,0.342,0.822,0.53,0.522,0.412,0.186,0.178
hlm,Mordred,KNN,0.745,0.572,0.766,0.67,0.82,0.741,0.676,0.673,0.491,0.49
hlm,Mordred,LightGBM,0.852,0.762,0.785,0.622,0.877,0.738,0.739,0.675,0.521,0.517
